id,name,tech,dem_id,active,investment,capacity,pmax,n,shift,cap_shup,cap_shdn,rec_sh_time,c_shup,c_shdn,eshupmax,eshdnmax,payback,reduct,cap_red,c_red,eredmax,ramp,ramp_up,ramp_dn
1,DER_CNQ,DEMAND RESPONSE,11,1,0,1000,1000,1,1,1,1,24,0,5,9999,9999,0,0,0,0,0,0,0,0
2,DER_GG,DEMAND RESPONSE,12,1,0,1000,1000,1,1,1,1,24,0,5,9999,9999,0,0,0,0,0,0,0,0
3,DER_SQ,DEMAND RESPONSE,13,1,0,1000,1000,1,1,1,1,24,0,5,9999,9999,0,0,0,0,0,0,0,0
4,DER_NNSW,DEMAND RESPONSE,14,1,0,1000,1000,1,1,1,1,24,0,5,9999,9999,0,0,0,0,0,0,0,0
5,DER_CNSW,DEMAND RESPONSE,15,1,0,1000,1000,1,1,1,1,24,0,5,9999,9999,0,0,0,0,0,0,0,0
6,DER_SNW,DEMAND RESPONSE,16,1,0,1000,1000,1,1,1,1,24,0,5,9999,9999,0,0,0,0,0,0,0,0
7,DER_SNSW,DEMAND RESPONSE,17,1,0,1000,1000,1,1,1,1,24,0,5,9999,9999,0,0,0,0,0,0,0,0
8,DER_VIC,DEMAND RESPONSE,18,1,0,1000,1000,1,1,1,1,24,0,5,9999,9999,0,0,0,0,0,0,0,0
9,DER_TAS,DEMAND RESPONSE,19,1,0,1000,1000,1,1,1,1,24,0,5,9999,9999,0,0,0,0,0,0,0,0
10,DER_SA,DEMAND RESPONSE,20,1,0,1000,1000,1,1,1,1,24,0,5,9999,9999,0,0,0,0,0,0,0,0
