id,active,gen_id,down_time,up_time,last_state,last_state_period,last_state_output,start_up_cost,shut_down_cost,start_up_time,shut_down_time
1,1,1,0,8,0,0,0,56999.2450531404,0,0,0
2,1,2,0,8,0,0,0,32395.991489532928,0,0,0
5,1,5,0,8,0,0,0,33062.39393273747,0,0,0
6,1,6,0,8,0,0,0,49387.35971167355,0,0,0
8,1,8,0,8,0,0,0,27318.16988922027,0,0,0
11,1,11,0,8,0,0,0,40561.5215972937,0,0,0
12,1,12,0,8,0,0,0,49494.4592063328,0,0,0
14,1,14,0,16,0,0,0,27285.180717158102,0,0,0
17,1,17,0,0,0,0,0,0,0,0,0
18,1,18,0,0,0,0,0,0,0,0,0
19,1,19,0,0,0,0,0,0,0,0,0
20,1,20,0,0,0,0,0,0,0,0,0
21,1,21,0,0,0,0,0,0,0,0,0
23,1,23,0,0,0,0,0,0,0,0,0
24,1,24,0,4,0,0,0,0,0,0,0
25,1,25,0,4,0,0,0,0,0,0,0
26,1,26,0,0,0,0,0,0,0,0,0
28,1,28,0,0,0,0,0,0,0,0,0
37,1,37,0,4,0,0,0,0,0,0,0
44,1,44,0,4,0,0,0,0,0,0,0
46,1,46,0,4,0,0,0,0,0,0,0
47,1,47,0,0,0,0,0,0,0,0,0
50,1,50,0,0,0,0,0,0,0,0,0
52,1,52,0,4,0,0,0,0,0,0,0
54,1,54,0,6,0,0,0,0,0,0,0
55,1,55,0,0,0,0,0,0,0,0,0
56,1,56,0,0,0,0,0,0,0,0,0
58,1,58,0,0,0,0,0,0,0,0,0
62,1,62,0,0,0,0,0,0,0,0,0
65,1,65,0,0,0,0,0,0,0,0,0
66,1,66,0,0,0,0,0,0,0,0,0
67,1,67,0,0,0,0,0,0,0,0,0
68,1,68,0,0,0,0,0,0,0,0,0
