id,inv_group_id,active,inv_model
1,1,1,EXCLUSIVE
2,2,1,EXCLUSIVE
3,3,1,EXCLUSIVE
4,4,1,EXCLUSIVE
5,5,1,EXCLUSIVE
6,6,1,EXCLUSIVE
7,7,1,EXCLUSIVE
8,8,1,EXCLUSIVE
9,9,1,EXCLUSIVE
10,10,1,EXCLUSIVE
11,11,1,EXCLUSIVE
12,12,1,EXCLUSIVE
13,13,1,EXCLUSIVE
14,14,1,EXCLUSIVE
15,15,1,EXCLUSIVE
16,16,1,EXCLUSIVE
17,17,1,EXCLUSIVE
18,18,1,EXCLUSIVE
19,19,1,EXCLUSIVE
20,20,1,EXCLUSIVE
21,21,1,EXCLUSIVE
22,22,1,MUSTFOLLOW
23,23,1,MUSTFOLLOW
24,24,1,MUSTFOLLOW
25,25,1,MUSTFOLLOW
26,26,1,MUSTFOLLOW
27,27,1,MUSTFOLLOW
28,28,1,MUSTFOLLOW
29,29,1,MUSTFOLLOW
30,30,1,MUSTFOLLOW
31,31,1,MUSTFOLLOW
32,32,1,MUSTFOLLOW
33,33,1,MUSTFOLLOW
34,34,1,MUSTFOLLOW
35,35,1,MUSTFOLLOW
36,36,1,MUSTFOLLOW
37,37,1,MUSTFOLLOW
