id,name,tech,type,active,investment,capacity,n,bus_id,junction_id,efficiency,electricity_consumption,pmin,pmax,baseload,water,ramp,rampup,rampdown,export_node,domestic_node,longitude,latitude
1,ELECTROLYSER_EX_CNQ,PEM,EXPORT,1,1,1,1,1,1,0.67,0,0,999999,0.02,0,0,0,0,1,0,150.7599091,-23.15984988
2,ELECTROLYSER_EX_GG,PEM,EXPORT,1,1,1,1,2,3,0.67,0,0,999999,0.02,0,0,0,0,1,0,151.2404019,-23.82406941
3,ELECTROLYSER_EX_SQ,PEM,EXPORT,1,1,1,1,3,5,0.67,0,0,999999,0.02,0,0,0,0,1,0,153.0993431,-27.36729615
4,ELECTROLYSER_EX_NNSW,PEM,EXPORT,1,1,1,1,4,7,0.67,0,0,999999,0.02,0,0,0,0,1,0,152.9717844,-30.67710962
5,ELECTROLYSER_EX_CNSW,PEM,EXPORT,1,1,1,1,5,9,0.67,0,0,999999,0.02,0,0,0,0,1,0,152.5644414,-31.94629407
6,ELECTROLYSER_EX_SNW,PEM,EXPORT,1,1,1,1,6,11,0.67,0,0,999999,0.02,0,0,0,0,1,0,151.7737819,-32.91843294
7,ELECTROLYSER_EX_SNSW,PEM,EXPORT,1,1,1,1,7,13,0.67,0,0,999999,0.02,0,0,0,0,1,0,150.207571,-35.76908918
8,ELECTROLYSER_EX_VIC,PEM,EXPORT,1,1,1,1,8,15,0.67,0,0,999999,0.02,0,0,0,0,1,0,144.3655122,-38.14493114
9,ELECTROLYSER_EX_TAS,PEM,EXPORT,1,1,1,1,9,17,0.67,0,0,999999,0.02,0,0,0,0,1,0,146.9293416,-41.043953
10,ELECTROLYSER_EX_SA,PEM,EXPORT,1,1,1,1,10,19,0.67,0,0,999999,0.02,0,0,0,0,1,0,137.7774617,-32.97833745
11,ELECTROLYSER_DOM_CNQ,PEM,DOMESTIC,1,1,1,1,1,2,0.67,0,0,999999,0.02,0,0,0,0,0,1,148.5395417,-24.2004863
12,ELECTROLYSER_DOM_GG,PEM,DOMESTIC,1,1,1,1,2,4,0.67,0,0,999999,0.02,0,0,0,0,0,1,151.1678832,-23.85511725
13,ELECTROLYSER_DOM_SQ,PEM,DOMESTIC,1,1,1,1,3,6,0.67,0,0,999999,0.02,0,0,0,0,0,1,151.8949632,-27.30378326
14,ELECTROLYSER_DOM_NNSW,PEM,DOMESTIC,1,1,1,1,4,8,0.67,0,0,999999,0.02,0,0,0,0,0,1,150.7622943,-30.34751918
15,ELECTROLYSER_DOM_CNSW,PEM,DOMESTIC,1,1,1,1,5,10,0.67,0,0,999999,0.02,0,0,0,0,0,1,148.599988,-32.3248919
16,ELECTROLYSER_DOM_SNW,PEM,DOMESTIC,1,1,1,1,6,12,0.67,0,0,999999,0.02,0,0,0,0,0,1,150.8365286,-32.80884382
17,ELECTROLYSER_DOM_SNSW,PEM,DOMESTIC,1,1,1,1,7,14,0.67,0,0,999999,0.02,0,0,0,0,0,1,147.0939802,-34.93691674
18,ELECTROLYSER_DOM_VIC,PEM,DOMESTIC,1,1,1,1,8,16,0.67,0,0,999999,0.02,0,0,0,0,0,1,141.9573858,-35.60080021
19,ELECTROLYSER_DOM_TAS,PEM,DOMESTIC,1,1,1,1,9,18,0.67,0,0,999999,0.02,0,0,0,0,0,1,146.8231344,-41.7562502
20,ELECTROLYSER_DOM_SA,PEM,DOMESTIC,1,1,1,1,10,20,0.67,0,0,999999,0.02,0,0,0,0,0,1,139.2358027,-32.84082587
