id,ess_id,scenario,date,value
1,4,1,2023-07-01 00:00:00,1
2,4,2,2023-07-01 00:00:00,1
3,4,3,2023-07-01 00:00:00,1
4,4,4,2023-07-01 00:00:00,1
5,5,1,2023-07-01 00:00:00,1
6,5,2,2023-07-01 00:00:00,1
7,5,3,2023-07-01 00:00:00,1
8,5,4,2023-07-01 00:00:00,1
9,7,1,2023-07-01 00:00:00,1
10,7,2,2023-07-01 00:00:00,1
11,7,3,2023-07-01 00:00:00,1
12,7,4,2023-07-01 00:00:00,1
13,10,1,2023-07-01 00:00:00,1
14,10,2,2023-07-01 00:00:00,1
15,10,3,2023-07-01 00:00:00,1
16,10,4,2023-07-01 00:00:00,1
17,11,1,2023-07-01 00:00:00,1
18,11,2,2023-07-01 00:00:00,1
19,11,3,2023-07-01 00:00:00,1
20,11,4,2023-07-01 00:00:00,1
21,16,1,2025-02-01 00:00:00,1
22,16,2,2025-02-01 00:00:00,1
23,16,3,2025-02-01 00:00:00,1
24,16,4,2025-02-01 00:00:00,1
25,18,1,2026-12-01 00:00:00,1
26,18,2,2026-12-01 00:00:00,1
27,18,3,2026-12-01 00:00:00,1
28,18,4,2026-12-01 00:00:00,1
