id,name,alias,active,latitude,longitude,pressure_min,pressure_max,export_node,domestic_node
1,JUNCT_EX_CNQ,JEX_CNQ,1,-24.401793,150.527562,0,100,1,0
2,JUNCT_DOM_CNQ,JDOM_CNQ,1,-24.401793,150.527562,0,100,0,1
3,JUNCT_EX_GG,JEX_GG,1,-23.842948,151.248803,0,100,1,0
4,JUNCT_DOM_GG,JDOM_GG,1,-23.842948,151.248803,0,100,0,1
5,JUNCT_EX_SQ,JEX_SQ,1,-27.476625,153.029934,0,100,1,0
6,JUNCT_DOM_SQ,JDOM_SQ,1,-27.476625,153.029934,0,100,0,1
7,JUNCT_EX_NNSW,JEX_NNSW,1,-30.504711,151.652465,0,100,1,0
8,JUNCT_DOM_NNSW,JDOM_NNSW,1,-30.504711,151.652465,0,100,0,1
9,JUNCT_EX_CNSW,JEX_CNSW,1,-33.4833,150.157717,0,100,1,0
10,JUNCT_DOM_CNSW,JDOM_CNSW,1,-33.4833,150.157717,0,100,0,1
11,JUNCT_EX_SNW,JEX_SNW,1,-33.865,151.209444,0,100,1,0
12,JUNCT_DOM_SNW,JDOM_SNW,1,-33.865,151.209444,0,100,0,1
13,JUNCT_EX_SNSW,JEX_SNSW,1,-35.11098,147.359907,0,100,1,0
14,JUNCT_DOM_SNSW,JDOM_SNSW,1,-35.11098,147.359907,0,100,0,1
15,JUNCT_EX_VIC,JEX_VIC,1,-37.766053,144.943397,0,100,1,0
16,JUNCT_DOM_VIC,JDOM_VIC,1,-37.766053,144.943397,0,100,0,1
17,JUNCT_EX_TAS,JEX_TAS,1,-42.880556,147.325,0,100,1,0
18,JUNCT_DOM_TAS,JDOM_TAS,1,-42.880556,147.325,0,100,0,1
19,JUNCT_EX_SA,JEX_SA,1,-34.929,138.601,0,100,1,0
20,JUNCT_DOM_SA,JDOM_SA,1,-34.929,138.601,0,100,0,1
