id,name,tech,dem_id,active,investment,capacity,n,shift,pshup_max,pshdn_max,rec_sh,cost_shup,cost_shdn,eshup_max,eshdn_max,payback,advance,reduct,pred_max,cost_red,ered_target,ramp,ramp_up,ramp_dn
1,DSP_CNQ_B1,DSP,11,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,300,999999999,0,0,0
2,DSP_CNQ_B2,DSP,11,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,500,999999999,0,0,0
3,DSP_CNQ_B3,DSP,11,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,1000,999999999,0,0,0
4,DSP_CNQ_B4,DSP,11,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,7500,999999999,0,0,0
5,DSP_GG_B1,DSP,12,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,300,999999999,0,0,0
6,DSP_GG_B2,DSP,12,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,500,999999999,0,0,0
7,DSP_GG_B3,DSP,12,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,1000,999999999,0,0,0
8,DSP_GG_B4,DSP,12,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,7500,999999999,0,0,0
9,DSP_SQ_B1,DSP,13,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,300,999999999,0,0,0
10,DSP_SQ_B2,DSP,13,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,500,999999999,0,0,0
11,DSP_SQ_B3,DSP,13,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,1000,999999999,0,0,0
12,DSP_SQ_B4,DSP,13,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,7500,999999999,0,0,0
13,DSP_NNSW_B1,DSP,14,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,300,999999999,0,0,0
14,DSP_NNSW_B2,DSP,14,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,500,999999999,0,0,0
15,DSP_NNSW_B3,DSP,14,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,1000,999999999,0,0,0
16,DSP_NNSW_B4,DSP,14,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,7500,999999999,0,0,0
17,DSP_CNSW_B1,DSP,15,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,300,999999999,0,0,0
18,DSP_CNSW_B2,DSP,15,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,500,999999999,0,0,0
19,DSP_CNSW_B3,DSP,15,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,1000,999999999,0,0,0
20,DSP_CNSW_B4,DSP,15,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,7500,999999999,0,0,0
21,DSP_SNW_B1,DSP,16,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,300,999999999,0,0,0
22,DSP_SNW_B2,DSP,16,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,500,999999999,0,0,0
23,DSP_SNW_B3,DSP,16,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,1000,999999999,0,0,0
24,DSP_SNW_B4,DSP,16,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,7500,999999999,0,0,0
25,DSP_SNSW_B1,DSP,17,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,300,999999999,0,0,0
26,DSP_SNSW_B2,DSP,17,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,500,999999999,0,0,0
27,DSP_SNSW_B3,DSP,17,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,1000,999999999,0,0,0
28,DSP_SNSW_B4,DSP,17,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,7500,999999999,0,0,0
29,DSP_VIC_B1,DSP,18,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,300,999999999,0,0,0
30,DSP_VIC_B2,DSP,18,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,500,999999999,0,0,0
31,DSP_VIC_B3,DSP,18,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,1000,999999999,0,0,0
32,DSP_VIC_B4,DSP,18,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,7500,999999999,0,0,0
33,DSP_TAS_B1,DSP,19,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,300,999999999,0,0,0
34,DSP_TAS_B2,DSP,19,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,500,999999999,0,0,0
35,DSP_TAS_B3,DSP,19,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,1000,999999999,0,0,0
36,DSP_TAS_B4,DSP,19,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,7500,999999999,0,0,0
37,DSP_SA_B1,DSP,20,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,300,999999999,0,0,0
38,DSP_SA_B2,DSP,20,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,500,999999999,0,0,0
39,DSP_SA_B3,DSP,20,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,1000,999999999,0,0,0
40,DSP_SA_B4,DSP,20,1,0,100,1,0,0,0,0,0,0,0,0,0,0,1,10,7500,999999999,0,0,0
