id,lin_id,investment,capitalcost,leadtime,lifespan,nmax,inv_group,inv_model
1,13,741818.182,0.1,1,50,1,1,MEXCL
2,14,528888.889,0.1,1,50,1,1,MEXCL
3,15,183333.333,0.1,1,50,1,1,MEXCL
4,16,33330000,0.1,1,50,1,1,MEXCL
5,17,1076666.667,0.1,1,50,1,1,MEXCL
6,18,1160185.185,0.1,1,50,1,1,MEXCL
7,19,480000,0.1,1,50,1,1,MEXCL
8,20,33330000,0.1,1,50,1,1,MEXCL
9,21,1562500,0.1,1,50,1,1,MEXCL
10,22,1758230.958,0.1,1,50,1,1,MEXCL
11,23,2715492.958,0.1,1,50,1,1,MEXCL
12,24,2398290.598,0.1,1,50,1,1,MEXCL
13,25,2670422.535,0.1,1,50,1,1,MEXCL
14,26,871794.872,0.1,1,50,1,1,MEXCL
15,27,766210.046,0.1,1,50,1,1,MEXCL
16,28,178740.157,0.1,1,50,1,1,MEXCL
17,29,449818.182,0.1,1,50,1,1,MEXCL
18,30,560377.358,0.1,1,50,1,1,MEXCL
19,31,33330000,0.1,1,50,1,1,MEXCL
20,32,1056000,0.1,1,50,1,1,MEXCL
21,33,1150000,0.1,1,50,1,1,MEXCL
22,34,176000,0.1,1,50,1,1,MEXCL
23,35,501333.333,0.1,1,50,1,1,MEXCL
24,36,3760000,0.1,1,50,1,1,MEXCL
25,37,800000,0.1,1,50,1,1,MEXCL
26,38,310400,0.1,1,50,1,1,MEXCL
27,39,244000,0.1,1,50,1,1,MEXCL
28,40,1506818.182,0.1,1,50,1,1,MEXCL
29,41,476500,0.1,1,50,1,1,MEXCL
30,42,1019000,0.1,1,50,1,1,MEXCL
31,43,1404663.212,0.1,1,50,1,1,MEXCL
32,44,1524352.332,0.1,1,50,1,1,MEXCL
33,45,1200518.135,0.1,1,50,1,1,MEXCL
34,46,1158500,0.1,1,50,1,1,MEXCL
35,47,1255000,0.1,1,50,1,1,MEXCL
36,48,3173333.333,0.1,1,50,1,1,MEXCL
37,49,1869333.333,0.1,1,50,1,1,MEXCL
