id,inv_group_id,lin_id,group_order
1,1,43,1
2,1,44,1
3,2,43,1
4,2,46,1
5,3,46,1
6,3,47,1
7,4,43,1
8,4,45,1
9,5,44,1
10,5,45,1
11,6,18,1
12,6,21,1
13,7,21,1
14,7,19,1
15,8,22,1
16,8,23,1
17,9,22,1
18,9,24,1
19,10,22,1
20,10,25,1
21,11,22,1
22,11,26,1
23,12,22,1
24,12,33,1
25,13,23,1
26,13,25,1
27,14,23,1
28,14,26,1
29,15,24,1
30,15,25,1
31,16,24,1
32,16,26,1
33,17,27,1
34,17,30,1
35,18,34,1
36,18,35,1
37,19,36,1
38,19,37,1
39,20,34,1
40,20,37,1
41,21,35,1
42,21,36,1
43,22,40,1
44,22,41,2
45,23,41,1
46,23,42,2
47,24,44,1
48,24,46,2
49,25,44,1
50,25,47,2
51,26,43,1
52,26,47,2
53,27,18,1
54,27,19,2
55,28,23,1
56,28,24,2
57,29,25,1
58,29,26,2
59,30,24,1
60,30,33,2
61,31,26,1
62,31,33,2
63,32,27,1
64,32,32,2
65,33,27,1
66,33,28,2
67,34,28,1
68,34,29,2
69,35,48,1
70,35,49,2
71,36,34,1
72,36,36,2
73,37,35,1
74,37,37,2
